created_at,time,username,text,is_retweet,reply,retweet,favorite,source
22 Feb 2019,1:03 AM,@WHOTimorLeste,"@MdSTimorLeste & @KemenkesRI acknowledge that population mobility & migration have a role in the spread and control of communicable diseases and therefore we must take collaborative actions to address these issues by joint collaborations and partnerships
#DiliDeclaration #Healthpic.twitter.com/qykuQFDkOG",False,NA,3,7,/WHOTimorLeste/status/1098870948650872832
22 Feb 2019,12:14 AM,@WHOTimorLeste,In an exemplary show of collaboration and ensuring #health security for its citizens @MdSTimorLeste and @KemenkesRI signed the #DiliDecleration on Cross Border Collaboration for Communicable Diseases Prevention and Control towards establishing & developing a holistic strategypic.twitter.com/GqLZf5BxRS,False,NA,12,18,/WHOTimorLeste/status/1098858658333483008
20 Feb 2019,1:41 AM,@cdamayantis,astagaaa...,True,NA,NA,NA,/cdamayantis/status/1098155556223795201
19 Feb 2019,8:23 PM,@dokter_internis,"The best decisions come from the best run MDT. initial core group : Surgeon (surgical oncologist), medical oncologist and radiation incologist. NO SINGLE DOCTOR CAN FACE THE COMPLEXITY OF CANCER BY THEMSELF ANYMORE. #MDT #ONCOLOGY @KemenkesRI pic.twitter.com/sFjbnzL6Sb",False,NA,NA,1,/dokter_internis/status/1098075573702672385
18 Feb 2019,6:55 PM,@KemenkesRI,"We proud to have all of you 
Working hard to deliver the best health services for people no matter how long does it take.
From deepest of my heart, I'll say thank you very much",True,NA,NA,NA,/KemenkesRI/status/1097691152034127872
18 Feb 2019,7:55 AM,@xdnrstmx,"I don't know, but this whole statement is reassuring, thank you very much for remembering and rooting for us who will try our best to deliver our services no matter what time is it.",True,1,NA,NA,/xdnrstmx/status/1097524937592467457
18 Feb 2019,6:09 AM,@drpriono,"We need more innovation, real innovation and more research for faster ending #Tuberculosis in #Indonesia @KemenkesRI @ristekdikti @jokowipic.twitter.com/1h8oSLVqYD – at Kamontip Ballroom",False,NA,1,1,/drpriono/status/1097498366039052290
18 Feb 2019,1:41 AM,@RafaellaHusna,awas makin stres ntar wo,True,NA,NA,1,/RafaellaHusna/status/1097430794161639424
18 Feb 2019,12:35 AM,@BilqisKhira,Dear @jokowi @setkabgoid,True,NA,NA,NA,/BilqisKhira/status/1097414361671393280
25 Feb 2019,7:40 AM,@yonosto69,"puluhan warga desa awar-awar kecamatan asembagus situbondo ,jatim.keracunan makanan diselamatan salah satu warga setempat @DivHumas_Polri @pidressitubondo @KemenkesRI @RadioElshintapic.twitter.com/xZq4m2TG8d",False,NA,NA,1,/yonosto69/status/1100058008107724800
25 Feb 2019,3:38 AM,@drpriono,Sampel data @BPJSKesehatanRI akhirnya bisa diakses untuk dimanfaatkan perumusan kebijakan jkn yang berbasis data. @jokowi @KemenkesRI pic.twitter.com/piNaN9haax,False,1,1,5,/drpriono/status/1099997173662416896
24 Feb 2019,11:11 PM,@rakyatrukun_,sehat dimasa muda nikmati bahagia di hari tua @KemenkesRI pic.twitter.com/ccVvoGm2SH,False,2,24,17,/rakyatrukun_/status/1099929974469849088
24 Feb 2019,10:33 PM,@irfanfauzi_muh,"Ayo dukung Rifaskes 2019 dengan menjadi enumerator
Cc: @KemenkesRI pic.twitter.com/bRuWcAOddu",False,NA,NA,NA,/irfanfauzi_muh/status/1099920408277467136
24 Feb 2019,9:50 PM,@rs_matacicendo,Selamat kepada Ibu Menkes @KemenkesRI Prof @NilaMoeloek yang mendapat penghargaan pada INASCRS #TurutBanggapic.twitter.com/BAW9mIIIH4,False,NA,5,12,/rs_matacicendo/status/1099909398388822016
24 Feb 2019,6:45 PM,@dispertan,"Siang #SmartTani
Makanan yang sehat juga bergantung dari cara kita menyimpan makanan 

Bagaimana cara menyimpannya? Intip dulu #InfoGrafis @KemenkesRI  pic.twitter.com/yjrO4OQDmS",False,NA,5,8,/dispertan/status/1099862847243206657
24 Feb 2019,6:30 PM,@KemenkesRI,"#RilisSehat

Ratusan Jemaah Haji DKI Jakarta Lakukan Latihan dan Pengukuran Kebugaran @KemenkesRI
#HajiSehatMabrur
https://goo.gl/eJmFZy pic.twitter.com/BPix716O2t",False,NA,NA,6,/KemenkesRI/status/1099859023778799616
24 Feb 2019,5:18 PM,@GiaPratamaMD,"Dear @KemenkesRI , Ini hasil voting dari 13ribuan partisipan tentang Vaksin. InsyaAllah Indonesia masih aman, terjaga dari wabah penyakit yg bisa dicegah.

Yg tidak setuju hanya 2%, dan mereka pun masih akan terlindungi oleh kesehatan komunitas. pic.twitter.com/2W3kZUb10C",False,16,226,225,/GiaPratamaMD/status/1099840996542566401
24 Feb 2019,5:18 PM,@KemenkesRI,"#RilisSehat

Kemenkes Jalin Kerjasama Kesehatan Haji dengan Perguruan Tinggi @KemenkesRI
#HajiSehatMabrur
https://goo.gl/EVahS1 pic.twitter.com/MhT2PApnzl",False,1,1,5,/KemenkesRI/status/1099840918419427328
24 Feb 2019,5:13 PM,@hariankompas,"Kementerian Kesehatan (@KemenkesRI) mencatat, pada Januari sampai 19 Februari 2019 ada 23.305 kasus DBD dengan 207 pasien meninggal dunia.

#Humaniora #AdadiKompaspic.twitter.com/DZh47B70wL",False,1,NA,2,/hariankompas/status/1099839848196665345
23 Feb 2019,10:56 PM,@budiwiwaha,Good,True,NA,NA,NA,/budiwiwaha/status/1099563795884564481
22 Feb 2019,10:41 PM,@RadioElshinta,"Kamu pernah manggil teman dengan suara keras tapi dia nggak dengar? 
Sudah pernah mencoba tes pendengaran sederhana? 

Caranya? 
Lihat infografis berikut ya..!
Via @KemenkesRI
#ElshintaWeekendpic.twitter.com/TQv6ciHjLU",False,1,52,50,/RadioElshinta/status/1099197430996688896
21 Feb 2019,4:32 AM,@astroharis,@KemenkesRI @jokowi mohon pak agar kejadian ini tak terjadi lagi pic.twitter.com/cyKvcjvNmC,False,1,NA,NA,/astroharis/status/1098561165372747777
20 Feb 2019,7:55 AM,@SMPHarnovia,Segera adakan peralatan Operasi Jantung bocor di Kalbarpic.twitter.com/8q5igOimcR,True,NA,NA,NA,/SMPHarnovia/status/1098249812149858304
20 Feb 2019,4:00 AM,@KemenkesRI,"Ke pesisir pantai mencari kerang
Kerang hitam rasanya pahit
Jangan buang sampah sembarang
Jika tak ingin terkena penyakit 
#PantunSehat
#DukungGERMASpic.twitter.com/TZstHNplKV",False,NA,12,20,/KemenkesRI/status/1098190531606110209
20 Feb 2019,1:00 AM,@KemenkesRI,"#ZamanNow masih pakai plastik? 
Limbah plastik bisa menyebabkan risiko rusaknya lingkungan sekitar kita 

Yuk kita kurangi penggunaan plastik, agar lingkungan kita tetap terjaga 
#ByePlastic
#KesehatanLingkunganpic.twitter.com/PG8a3Sqpoj",False,1,61,61,/KemenkesRI/status/1098145231495618561
19 Feb 2019,11:38 PM,@Aminuddin001,"Melakukan perbuatan melanggar hukum dan diluar wewenang,  ahli pijat memberikan resep obat. #ResepIlegal cc @PBIDI @KemenkesRI @anjarismepic.twitter.com/40DmK1TViy",False,6,7,5,/Aminuddin001/status/1098124595800887296
18 Feb 2019,8:34 PM,@KemenkesRI,Ingat! G.G.L = 4.1.5 ya #Healthies . Selamat makan siang pic.twitter.com/vdzQrm84IZ,False,1,51,38,/KemenkesRI/status/1097716065235128320
18 Feb 2019,3:22 PM,@dispertan,"Pagi #SmartTani
tahu gak sih kalau ada tanaman pengusir nyamuk? Zodia merupakan salah satu tanaman pengusir nyamuk, selain bermanfaat juga bisa membuat indah lingkungan di sekitar kamu loh.

eits ada juga tanaman lainnya lho, yuk simak #infografis dari @KemenkesRI berikut ini : pic.twitter.com/zIYI8fml5Y",False,NA,25,37,/dispertan/status/1097637384441610240
17 Feb 2019,6:30 PM,@Transform_Hlth,An interesting 2min read on better research outcomes from bilateral research with Indonesia and Australia check it out @RTI_Intl @KemenkesRI @Kemristekdikti @DubesAustralia @AustradeJakarta @dfathttps://twitter.com/AusIndCentre/status/1095180789916942336 …,False,NA,1,4,/Transform_Hlth/status/1097322476973899776
25 Feb 2019,7:33 AM,@devolta18,pic.twitter.com/JWhcF24CaS,True,NA,NA,NA,/devolta18/status/1100056292352131072
25 Feb 2019,4:08 AM,@KemenkesRI,KARS sbg lembaga independen penyelenggara akreditasi rumah sakit di Indonesia untuk selalu berbenah dengan bukti pencapaian yang cukup membanggakan dimana telah memiliki 3 (tiga) pengakuan dari lSQuapic.twitter.com/bvmEpxvzQ8,False,1,1,5,/KemenkesRI/status/1100004572884459520
25 Feb 2019,4:08 AM,@KemenkesRI,"Menkes RI @NilaMoeloek menghadiri Penyerahan Sertifikat Kelulusan ISQua dan Launching The Journal of Hospital Accreditafon (JHA) serta Media Komisi Akreditasi Rumah Sakit (KARS), di Jakarta pada Senin (25/2)pic.twitter.com/X0D0l0gIYk",False,1,5,14,/KemenkesRI/status/1100004567008202753
25 Feb 2019,2:31 AM,@hernisuprapti,@KemenkesRI ini dibiarkan saja kah? @e100sspic.twitter.com/0tcrecsvAf,False,NA,NA,NA,/hernisuprapti/status/1099980089846943744
24 Feb 2019,7:00 PM,@KemenkesRI,"Halo #Healthies!
Untukmu yang kepo dengan kondisi kesehatan di Indonesia, kamu bisa menyimak hasil #Riskesdas2018 disini

https://goo.gl/LhXL3E 

Salam sehat!pic.twitter.com/oKnhmr4Lt7",False,4,53,66,/KemenkesRI/status/1099866573496446976
24 Feb 2019,4:49 PM,@ditjenhorti,"Assalamualikum dan selamat pagi #HortiMania 
Semoga dipagi yang indah ini Allah memberikan rahmat bagi kita dan keluarga, 
Kebersamaan adalah wujud cinta kasih yg utuh, teruslah menjaganya hingga akhir waktu.

@kementan @dispertan @Kemenpar_RI @Kemendagri_RI @KemenkesRI pic.twitter.com/1eEqlWxVTi",False,3,10,22,/ditjenhorti/status/1099833849129750528
23 Feb 2019,4:32 PM,@kementan,"#SobaTani yang selama ini enggak suka makan kemangi, mungkin setelah baca postingan mulai berpikir ulang menjauhi daun ini. Ternyata, kemangi kaya manfaat lho.
#KerjaBerdampak @KemenkesRI pic.twitter.com/k2cR1uejOq",False,7,72,154,/kementan/status/1099467160013787136
22 Feb 2019,12:25 AM,@KemenkesRI,"#RilisSehat

Kemenkes Buka Kesempatan Perawat Indonesia Berkarir di Jepang @KemenkesRI
https://goo.gl/FkcPpD pic.twitter.com/oWxIPgU6R6",False,6,50,39,/KemenkesRI/status/1098861199855214592
21 Feb 2019,9:00 PM,@KemenkesRI,"#RilisSehat

Johan Budi: Setiap Orang Bisa Jadi Juru Bicara @KemenkesRI
https://goo.gl/KvEz16 pic.twitter.com/7AHgp5Ocvd",False,NA,NA,5,/KemenkesRI/status/1098809610180411397
20 Feb 2019,10:37 PM,@KemenkesRI,"Sampah plastik ini berpengaruh dalam masalah kesehatan. Apabila sampah plastik ini dibakar akan muncul zat karsinogenik yang bisa memicu risiko kanker. Sehingga, perlu adanya kesadaran untuk mengurangi penggunaan plastik dlm kehidupan sehari-haripic.twitter.com/j7g9nbeKFr",False,2,16,15,/KemenkesRI/status/1098471638650150912
20 Feb 2019,10:37 PM,@KemenkesRI,Menciptakan lingkungan yang bersih dan sehat memang banyak tantangan. Terlebih lagi permasalahan sampah plastik dimana Indonesia menempati peringkat 2 penyumbang sampah plastik di duniapic.twitter.com/kJ9dgzVyUl,False,1,3,4,/KemenkesRI/status/1098471636162863104
20 Feb 2019,6:40 PM,@KemenkesRI,"Apa kata pedagang dan pengelola Pasar Rakyat tentang #RevitalisasiPasarRakyat ? 

Pastinya #PemerintahBekerja untuk masyarakat Indonesia, agar seluruh insan bisa menikmati pembangunan-pembangunan yang lebih baik.pic.twitter.com/yxVFVQfdwy",False,NA,7,5,/KemenkesRI/status/1098412202049003520
20 Feb 2019,9:47 AM,@RadioElshinta,"Makanan yang sehat juga bergantung dari cara kita menyimpan makanan 

Bagaimana cara menyimpannya? Intip dulu disini 
@KemenkesRI #DiskusiInteraktifElshintapic.twitter.com/hU4NHIeLMF",False,NA,37,38,/RadioElshinta/status/1098277978914533376
20 Feb 2019,7:54 AM,@SMPHarnovia,pic.twitter.com/m9MDGFaSg8,True,NA,NA,NA,/SMPHarnovia/status/1098249627369844737
19 Feb 2019,8:40 PM,@KemenkesRI,"Terima kasih untuk kerja kerasnya 
@KemenkesRI mendapat penghargaan Berkinerja Terbaik Pengelolaan Anggaran Tahun 2018  peringkat II dalam kategori pagu besar Kementerian Negara/Lembaga oleh @KemenkeuRI 

Salam sehat!pic.twitter.com/F9rbAyd9Ce",False,2,14,25,/KemenkesRI/status/1098079963444436992
19 Feb 2019,6:00 AM,@KemenkesRI,"Selamat malam #Healthies! 
Istirahatlah yang cukup secara kuantitas dan kualitas pic.twitter.com/HebwrKcPff",False,NA,58,48,/KemenkesRI/status/1097858345245933574
18 Feb 2019,7:10 PM,@KKP_Makassar,"Pembukaan Diklat Vektor dan BPP KKP Kelas I Makassar
Angkatan III dan IV
Di BBPK Makassar
17 sd 22 Februari 2019 @KemenkesRI @ditjenppplpic.twitter.com/yOk7Jekzgj",False,NA,NA,2,/KKP_Makassar/status/1097695012739928064
18 Feb 2019,4:00 AM,@KemenkesRI,"Kalau ada temanmu yang suka marah-marah jangan kebawa emosi dulu 

Bisa jadi temanmu butuh berbagi kisah. Coba dekati dia dan cari suasana yang nyaman untuk bercerita 
#SehatJiwaKu
#KelolaStresspic.twitter.com/AMlN0SA5Q1",False,2,150,146,/KemenkesRI/status/1097465757510893569
17 Feb 2019,5:19 PM,@dispertan,"Pagi #SmartTani
Hari ini sudah minum air putih belum?? Buat yang masih mager buat minum air putih, banyak banget loh manfaatnya minum air putih. 
Jangan lupa minum air putih 8 gelas per hari ya 

Yuk,kita simak bersama #infografis dari @KemenkesRI berikut ini: pic.twitter.com/TYfuRjqJcp",False,1,16,26,/dispertan/status/1097304471250423808
17 Feb 2019,4:11 PM,@KemenkesRI,"Kamu tim kopi panas atau tim teh panas? 
Kalau #Minkes tetap setia sama air putih 

Apapun pilihanmu tetap semangat pagi ya 
#DukungGERMAS
#IndonesiaSehat
#SehatItuGuepic.twitter.com/G2PnYHe4XF",False,13,128,127,/KemenkesRI/status/1097287565072248832
25 Feb 2019,12:00 AM,@KemenkesRI,"Pengobatan #TBC berlangsung selama 6-8 bulan yang terbagi dalam 2 tahap. 

Pada tahap awal obat diminum setiap hari selama 2 atau 3 bulan. Kemudian pada tahap akhir obat diminum 3 kali seminggu selama 4 atau 5 bulan

#TOSSTBCpic.twitter.com/YQYvs2aNpm",False,1,48,33,/KemenkesRI/status/1099942074449870848
24 Feb 2019,8:00 PM,@KemenkesRI,"Masih menggunakan plastik sehari-hari? 

Ingat bahaya plastik bisa mengintaimu dan keluargamu 

Yuk, kurangi penggunaan plastik 
#ByePlastic #BebasPlastikpic.twitter.com/qjS9PaOJQV",False,1,29,27,/KemenkesRI/status/1099881673095753728
24 Feb 2019,6:20 PM,@KemenkesRI,"Tren penyakit tidak menular seperti jantung, stroke, diabetes meningkat 

Kenapa bisa?
Penyakit-penyakit tersebut karena gaya hidup yang tidak sehat. Seperti kurang mengonsumsi makanan bergizi dan kurang berolahraga 

Simak selengkapnya di : 
https://goo.gl/N2huR8 pic.twitter.com/vT0w2s6MOR",False,NA,114,38,/KemenkesRI/status/1099856638687629312
24 Feb 2019,5:39 PM,@infoppkk,"Salam Sehat #sobatkriskes! 
berikut admin akan informasikan hasil pemantauan kejadian krisis kesehatan sejak tanggal 24-25 Februari 2019 hingga pukul 07.30 WIB. 
@KemenkesRI
#sehatdansiagahadapibencana
#salamsehat
#informasibencana
#pusatkrisiskesehatanpic.twitter.com/Tbep5TtvxC",False,NA,5,5,/infoppkk/status/1099846239061831680
24 Feb 2019,3:59 PM,@ditjenhorti,"Brotowali, ramuan mujarab yang bisa menyembuhkan banyak penyakit, termasuk luka dalam.

Ada yg tau lebih banyak tentang brotowali, shere di kolom comment yah.

#jamukita #petanisejahtera #petanimilenial
@PTN_IPB @FATETA_IPB @FAPERTA_UNSRAT @imhptUGM @faperta @KemenkesRI pic.twitter.com/4bw5NurgsM",False,1,10,27,/ditjenhorti/status/1099821181136338947
23 Feb 2019,7:24 PM,@PolbangtanBogor,"#SobaTani yang selama ini enggak suka makan kemangi, mungkin setelah baca postingan mulai berpikir ulang menjauhi daun ini. Ternyata, kemangi kaya manfaat lho.
#KerjaBerdampak @KemenkesRI pic.twitter.com/l9DBq0p7LT",False,52,52,69,/PolbangtanBogor/status/1099510411240517632
23 Feb 2019,6:19 PM,@kanglapor,"hai kalian para bapak2 , tega sekali kalian merokok d depan anakmu.. jgn salahkan anakmu kalo baru SD nanti dia merokok.. peringatan bagi para ortu, pemimpin agama, orang yg menjadi panutan cc: @KemenkesRI @ANTIrokok11 #perokokdekatanak #ayahtegapic.twitter.com/KYJR0JVb1L",False,NA,NA,1,/kanglapor/status/1099494043917070336
23 Feb 2019,5:54 PM,@Zulna_lampung,#bpjs #HidupSehat #JagaKesehatan #AyoOlahraga @KEMENPORA_RI @KemenkesRI @BPJSKesehatanRI @fadjroeL @na_dirspic.twitter.com/ISM4EkxVXw,True,NA,6,3,/Zulna_lampung/status/1099487819234402304
22 Feb 2019,4:37 AM,@AbdulMu96221787,Siap pak ....peduli sampah..sangat penting sekali ...alhamdulillaah berjalan bersama dengan karangtaruna desa dampinganpic.twitter.com/REiwUR2xcc,True,NA,2,4,/AbdulMu96221787/status/1098924711319265285
22 Feb 2019,4:30 AM,@KemenkesRI,"Apakah kamu sudah mencoba tes pendengaran sederhana? 

Coba cek seberapa jauh jarak pendengaran kamu? Apakah pendengaranmu termasuk kategori normal? 
#jagapendengaranmupic.twitter.com/hMLCbH4t4p",False,2,59,73,/KemenkesRI/status/1098922855004295168
22 Feb 2019,12:24 AM,@KemenkesRI,"#RilisSehat

Derajat Kesehatan 40% Dipengaruhi Lingkungan @KemenkesRI
https://goo.gl/vfR2Y6 pic.twitter.com/gUERRpzM2U",False,NA,3,6,/KemenkesRI/status/1098860994531487746
21 Feb 2019,11:15 PM,@KomnasPerempuan,"Tweeps, saat ini sedang berlangsung Media Talk tentang RUU Penghapusan Kekerasan Seksual di kantor @kpp_pa. Sebagai narasumber, hadir perwakilan dari @infoLPSK, @Kemenkumham_RI, @kpp_pa, @KemenkesRI dan Komnas Perempuan pic.twitter.com/kWoiWIwlws",False,2,40,47,/KomnasPerempuan/status/1098843783918022656
21 Feb 2019,4:58 PM,@KemenkesRI,"Yups, pagi ini #Minkes bermain panahan di kantor @KemenkesRI bareng teman-teman 

Bagaimana olahraga pagimu #Healthies? 

#DukungGERMASpic.twitter.com/Y59aN5311o",False,3,4,29,/KemenkesRI/status/1098748781070151680
21 Feb 2019,2:49 PM,@DokterAri,"Pagi teman2...Batuk bisa disebabkan oleh banyak hal tetapi  ternyata sampai saat ini  TBC tetap harus dipikirkan sebagai penyebab utama: batuk lebih dari 2 minggu, badan meriang pd malam hari&BB turun periksa foto thoraks ... @KemenkesRI @infosehatfkui @anjarisme @ayosehat_tvOnepic.twitter.com/p9hQSQW9xn",False,15,94,247,/DokterAri/status/1098716427941404672
21 Feb 2019,2:42 PM,@MAKINUN17,"NU & Warga  Nahdliyin wajib kontribusi scr riil memberi solusi thdp berbagai persoalan Bangsa.  Termasuk mencegah Indonesia darurat sampah plastik
#HariPeduliSampahNasional
#DietPlastik
#KebersihanBagianDariIman
@jokowi
@KemenkesRI
@KementerianLHK
@KemenDesa
@tppindonesiapic.twitter.com/3EQjXPJpvX",True,1,2,3,/MAKINUN17/status/1098714505532473344
21 Feb 2019,9:45 AM,@RadioElshinta,"Pastikan dirumahmu dan sekitarmu tidak ada jentik 

1 jentik betina berubah menjadi nyamuk dewasa dalam waktu 12-14 hari. Sekalinya bertelur menghasilkan 100-150 butir telur nyamuk  via @KemenkesRI #ElshintaEdisiMalampic.twitter.com/DVIyTzZ4f6",False,NA,5,7,/RadioElshinta/status/1098639838348103680
20 Feb 2019,9:44 PM,@KKP_Makassar,"Pertemuan Penyusunan Rencana Kontijensi (Renkon ) Penaggulangan Kedaruratan Kesehatan Masyarakat Di Wilker Pelabuhan Palopo KKP Kelas I Makassar, Tanggal 21 Februari 2019 @KemenkesRI @ditjenpppl pic.twitter.com/S5tSBfJwjL",False,NA,NA,NA,/KKP_Makassar/status/1098458324763271168
19 Feb 2019,6:56 PM,@KKP_Makassar,Pertemuan Penguatan Jejaring LS/LP Dalam Pengendalian Faktor Risiko Kesehatan Masyarakat Di Pelabuhan Makassar @KemenkesRI @ditjenpppl pic.twitter.com/6awvxVremh,False,NA,NA,1,/KKP_Makassar/status/1098053775816777728
18 Feb 2019,5:54 AM,@drpriono,@KemenkesRI Gaya nya OK juga. Ada yang kenal? pic.twitter.com/I3xMfhTwSS,False,NA,NA,1,/drpriono/status/1097494441932120064
17 Feb 2019,3:53 PM,@Interna_Bali,"Final Announcement WKD & BUN SC 2019, @blogdokter @IDIDenpasar @pbpapdi @PBIDI @KemenkesRI @UdayanaUniv @KedokteranUI @kolegiumipdpic.twitter.com/dlwcslRIUd",False,NA,NA,1,/Interna_Bali/status/1097282870698078208
23 Feb 2019,5:01 PM,@infoppkk,"Salam Sehat #sobatkriskes! 
berikut admin akan informasikan hasil pemantauan kejadian krisis kesehatan sejak tanggal 23-24 Februari 2019 hingga pukul 07.30 WIB. 
@KemenkesRI
#sehatdansiagahadapibencana
#salamsehat
#informasibencana
#pusatkrisiskesehatan pic.twitter.com/0NrUZevcKPpic.twitter.com/3UykQxULEF",False,1,1,1,/infoppkk/status/1099474488608022528
22 Feb 2019,5:02 PM,@Chen49697427,"@KemenkesRI  mau bertanya untuk pasal 4 ayat 2 Permenkes no 21 tahun 2016.
Apakah tenaga kontrak walikota dan TKS mendapatkan dana kapitasi jkn pic.twitter.com/j0CZR3oSnk",False,NA,NA,NA,/Chen49697427/status/1099112342246252544
22 Feb 2019,4:00 AM,@KemenkesRI,"Pernah manggil teman kamu dengan suara keras tapi dia nggak dengar? 

Coba tes dulu pendengarannya 

Caranya, atur jarak dalam 6 m. Lalu katakan 5 kata pada temanmu dengan volume normal di ruang yang sunyi.

#jagapendengaranmupic.twitter.com/4Jt9iVcjtD",False,2,29,38,/KemenkesRI/status/1098915311972057088
22 Feb 2019,2:00 AM,@KemenkesRI,"Hai #Healthies!
Apabila ada pertanyaan seputar kebijakan kesehatan, #Healthies bisa menghubungi Halo Kemenkes 1500567pic.twitter.com/4NUPalvBeb",False,NA,7,12,/KemenkesRI/status/1098885107337883650
21 Feb 2019,7:21 PM,@drpriono,Kesehatan Publik 5.0...@KemenkesRI @jokowi @p2ptmkemenkesRIpic.twitter.com/Pk6blTz215,False,NA,1,1,/drpriono/status/1098784717011206144
20 Feb 2019,11:04 PM,@KemenkesRI,"Selain itu, ada penandatangan 6 buah prasasti pembangunan RS POLRI yaitu; 1) Membangun exit tol jagorawi; 2) Renovasi pembangunan IGD; 3) Gedung radiologi; 4) Peresmian intalasi thalassemia; 5) Renovasi ruang rawat jalan ..pic.twitter.com/9BYAcmrw7Q",False,1,1,3,/KemenkesRI/status/1098478469191618560
20 Feb 2019,10:37 PM,@KemenkesRI,"Hai #Healthies!
Kali ini Menkes @NilaMoeloek menghadiri Rapat Kerja Nasional Indonesia Bersih pada Kamis (21/2) di Jakarta.pic.twitter.com/FZ74Vcee03",False,1,NA,12,/KemenkesRI/status/1098471633226915840
20 Feb 2019,6:40 PM,@KemenkesRI,"Nah, ini lho penampakan #RevitalisasiPasarRakyat oleh Pemerintah. Gimana #Healthies? Lebih kece kan? pic.twitter.com/FILeqA4LXS",False,1,9,4,/KemenkesRI/status/1098412199930847232
19 Feb 2019,11:12 PM,@SamadIkbal,teri makasih banyak @jokowi @PDI_Perjuangan @KemenkesRI pic.twitter.com/Hfo6sBMcAv,True,NA,NA,NA,/SamadIkbal/status/1098118187583864834
19 Feb 2019,9:52 PM,@rsko_jakarta,"#BakatOrangIndonesia diakui dunia. Tapi jangan kerja terlalu berat lalu lupa minum air putih.
Nah ada infokes bermanfaat dari @KemenkesRI tentang kenapa harus minum air putih.
http://rskojakarta.com  #NoDrugAbusepic.twitter.com/yfWc6byrxo",False,NA,1,1,/rsko_jakarta/status/1098097939694608384
19 Feb 2019,9:18 PM,@KemenkesRI,"Kalau ada wisata kesehatan mungkin lebih asyik nih 
Bagaimana menurut kamu #Healthies? 

Selengkapnya di https://goo.gl/AYC814 pic.twitter.com/ARZPZdSsLJ",False,4,28,41,/KemenkesRI/status/1098089472560787463
19 Feb 2019,7:43 AM,@heribudhiyono,Selamat datang pak direktur kesling di Boyolali @KemenkesRI @p2ptmkemenkesRI sosialisasi program Stbmpic.twitter.com/FjOyWyfK4C,False,NA,NA,NA,/heribudhiyono/status/1097884309971562496
19 Feb 2019,12:00 AM,@KemenkesRI,"Sore #Healthies! 
Pastikan dirumahmu dan sekitarmu tidak ada jentik 

1 jentik betina berubah menjadi nyamuk dewasa dalam waktu 12-14 hari. Sekalinya bertelur menghasilkan 100-150 butir telur nyamuk 
#CegahDBDpic.twitter.com/iwncO6HLfE",False,NA,56,35,/KemenkesRI/status/1097767748162056192
18 Feb 2019,8:13 PM,@KemenkesRI,"Hai #Healthies!
Menerapkan pola hidup sehat merupakan salah satu cara terbaik untuk mencegah risiko kanker 

Jangan lupa lakukan #GERMAS setiap hari . Salam sehat!

#CegahKankerpic.twitter.com/1yqbKlG9dQ",False,NA,40,50,/KemenkesRI/status/1097710800339267584
18 Feb 2019,7:27 PM,@MKaryanto,http://www.jamudigital.com pic.twitter.com/EnogIq7XbO,True,NA,NA,NA,/MKaryanto/status/1097699113972322304
